[9/2/2025 5:43:35 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 5:44:01 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 6:42:40 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 6:59:31 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 7:39:02 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 7:50:07 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 7:53:49 AM] [INFO] received Windows console close event; shutting log-core down
[9/2/2025 8:17:13 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 1:11:32 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 1:18:42 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 1:37:16 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 1:44:30 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 1:45:23 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 1:45:24 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 2:26:46 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 2:27:05 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 2:27:05 AM] [INFO] received Windows console close event; shutting log-core down
[9/4/2025 2:27:11 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2025 5:47:24 AM] [INFO] received Windows console close event; shutting log-core down
